"Start","Finish","Distance (mi)","Steps (count)"
"22-Mar-2016 00:00","23-Mar-2016 00:00","2.90247937912217","7038"
"23-Mar-2016 00:00","24-Mar-2016 00:00","3.19732000378995","7541"
"24-Mar-2016 00:00","25-Mar-2016 00:00","3.68862757405331","9503"
"25-Mar-2016 00:00","26-Mar-2016 00:00","2.76690298705064","6286"
"26-Mar-2016 00:00","27-Mar-2016 00:00","7.69896726624527","19890"
"27-Mar-2016 00:00","28-Mar-2016 00:00","4.3495391412712","11049"
"28-Mar-2016 00:00","29-Mar-2016 00:00","2.98338874232588","7425"
"29-Mar-2016 00:00","30-Mar-2016 00:00","3.4187244787197","8374"
"30-Mar-2016 00:00","31-Mar-2016 00:00","4.38662329244136","11628"
"31-Mar-2016 00:00","01-Apr-2016 00:00","2.92751595108389","7344"
"01-Apr-2016 00:00","02-Apr-2016 00:00","3.57325294907134","9073"
"02-Apr-2016 00:00","03-Apr-2016 00:00","3.37859086539292","9215"
"03-Apr-2016 00:00","04-Apr-2016 00:00","0.154194359267801","391.501708425492"
"04-Apr-2016 00:00","05-Apr-2016 00:00","3.20690653408194","8054.49829157451"
"05-Apr-2016 00:00","06-Apr-2016 00:00","0.221841851054805","579"
"06-Apr-2016 00:00","07-Apr-2016 00:00","3.72928956217064","9443"
"07-Apr-2016 00:00","08-Apr-2016 00:00","4.03847701725366","9082"
"08-Apr-2016 00:00","09-Apr-2016 00:00","3.06924265885963","7822"
"09-Apr-2016 00:00","10-Apr-2016 00:00","1.82114140867095","5035"
"10-Apr-2016 00:00","11-Apr-2016 00:00","4.96360180751595","13373"
"11-Apr-2016 00:00","12-Apr-2016 00:00","2.31652777070002","5951"
"12-Apr-2016 00:00","13-Apr-2016 00:00","2.33583535038204","6094"
"13-Apr-2016 00:00","14-Apr-2016 00:00","4.66392706905193","11067"
"14-Apr-2016 00:00","15-Apr-2016 00:00","3.2614033957796","8062"
"15-Apr-2016 00:00","16-Apr-2016 00:00","3.04276965411843","7263"
"16-Apr-2016 00:00","17-Apr-2016 00:00","2.51393271430988","6634"
"17-Apr-2016 00:00","18-Apr-2016 00:00","0.0970208979560183","236"
"18-Apr-2016 00:00","19-Apr-2016 00:00","1.60215455871566","3791"
