timestamp,Zürich Sunshine Duration,Zürich Wind Speed [10 m],Zürich Wind Direction [10 m],Zürich Wind Speed [900 mb],Zürich Wind Direction [900 mb]
20200404T0200,0.0,0.5956885,296.56506,30.735231,76.452065
20200404T0300,0.0,3.767465,135.0,22.805367,78.15792
20200404T0400,0.0,2.5132127,147.99461,20.898611,79.077194
20200404T0500,0.0,1.6204481,99.46232,20.617662,77.905235
20200404T0600,0.0,2.4560864,77.47118,19.48661,78.27489
20200404T0700,0.0,2.8815567,56.30993,19.770523,79.50852
20200404T0800,0.0,2.742756,29.05458,20.06334,80.70669
20200404T0900,60.0,5.1725526,34.508514,21.434364,82.27817
20200404T1000,59.808514,7.544342,47.862396,23.444265,86.478546
20200404T1100,60.0,9.697106,52.815292,21.485697,81.32683
20200404T1200,60.0,12.061772,59.4703,20.056877,68.96249
20200404T1300,60.0,13.35193,61.38954,21.194187,69.102234
20200404T1400,60.0,13.229114,64.98311,20.948164,70.94228
20200404T1500,60.0,12.656103,59.656746,19.486609,64.85522
20200404T1600,60.0,12.509458,63.43495,19.721298,68.58703
20200404T1700,60.0,13.463086,62.927917,21.129885,66.92959
20200404T1800,60.0,13.3625555,66.501434,23.224882,71.00335
20200404T1900,60.0,10.636002,67.9321,24.098497,76.17135
20200404T2000,60.0,7.8712068,66.037506,27.44513,85.48601
20200404T2100,1.45,7.501892,73.495636,32.777798,88.11181
20200404T2200,0.0,6.1503215,72.34988,27.551172,96.75357
20200404T2300,0.0,5.842608,65.772255,17.727943,102.90741
20200405T0000,0.0,5.089565,83.99099,11.4862,122.19573
20200405T0100,0.0,1.8648,89.99999,8.714677,128.29016
20200405T0200,0.0,1.191377,26.565033,8.287822,124.38034
20200405T0300,0.0,2.3976,89.99999,11.480557,138.81407
20200405T0400,0.0,4.743117,38.157227,9.0,143.1301
20200405T0500,0.0,4.5833187,54.46232,7.7879906,146.30994
20200405T0600,0.0,2.2916594,35.53766,6.725354,164.47589
20200405T0700,0.0,1.0656,360.0,6.849467,183.01279
20200405T0800,0.0,1.4346079,21.801407,7.072878,194.74356
20200405T0900,0.0,1.332,360.0,9.47012,188.74615
20200405T1000,60.0,2.4560864,12.528793,11.304229,189.16235
20200405T1100,60.0,3.6234312,17.102722,11.090103,193.13402
20200405T1200,60.0,2.9784424,10.30484,10.041354,194.53445
20200405T1300,60.0,2.3976,360.0,5.00128,210.25644
20200405T1400,60.0,1.8648,360.0,0.0,180.0
20200405T1500,60.0,7.7256002,43.602814,10.587918,54.68878
20200405T1600,60.0,9.166637,54.46232,13.397612,59.300278
20200405T1700,60.0,10.279727,58.781593,16.267857,65.1363
20200405T1800,60.0,10.609278,61.50435,17.447933,68.19859
20200405T1900,60.0,8.697869,62.65013,19.13426,78.055824
20200405T2000,60.0,6.791894,64.440025,23.411074,91.76238
20200405T2100,2.85,4.5366287,86.63353,23.233253,102.52881
20200405T2200,0.0,1.9394212,164.0546,16.375053,123.340706
20200405T2300,0.0,2.8318708,228.81409,18.64369,190.00798
20200406T0000,0.0,3.4734309,212.47119,22.45315,192.0306
20200406T0100,0.0,5.1725526,168.11134,16.676977,237.3391
20200406T0200,0.0,6.1503215,175.03026,17.208603,232.65065
20200406T0300,0.0,8.262695,181.84761,21.461555,202.69379
20200406T0400,0.0,2.7167575,191.30994,27.887802,219.23737
20200406T0500,0.0,3.9603205,199.65382,20.46941,246.13983
20200406T0600,0.0,6.399148,177.61406,24.387177,261.51105
20200406T0700,8.116667,7.501892,173.88449,20.892412,268.0251
20200406T0800,60.0,6.0748544,164.74487,13.679999,270.0
20200406T0900,60.0,4.336678,169.38034,13.708391,246.8014
20200406T1000,60.0,2.260479,225.0,10.144082,242.52557
20200406T1100,60.0,3.207881,265.23636,5.1919937,236.30994
20200406T1200,60.0,2.9784424,280.30487,1.835647,191.30994
20200406T1300,60.0,2.2916594,324.46234,1.1384199,341.56506
20200406T1400,60.0,2.664,360.0,3.0758414,20.556046
20200406T1500,60.0,3.3379824,331.38956,3.0758414,339.44397
20200406T1600,60.0,2.028842,336.8014,1.1384199,341.56506
20200406T1700,60.0,1.3583788,281.30994,1.609969,243.43495
20200406T1800,60.0,2.3976,270.0,2.968636,255.96376
20200406T1900,60.0,3.3697233,251.56506,4.3498964,245.55606
20200406T2000,60.0,7.743951,229.18492,3.2399998,270.0
20200406T2100,4.25,8.11974,221.0091,1.8,270.0
20200406T2200,0.0,6.2191706,223.2643,1.08,270.0
20200406T2300,0.0,4.161301,219.80557,1.484318,284.03625
20200407T0000,0.0,4.336678,227.48956,2.6208394,285.9454
20200407T0100,0.0,4.765508,206.56505,3.096837,305.5377
20200407T0200,0.0,5.1725526,191.88866,2.9024127,352.875
20200407T0300,0.0,6.179102,187.43141,1.9386592,248.1986
20200407T0400,0.0,3.8142672,204.77515,4.452954,194.03624
20200407T0500,0.0,0.753493,135.0,3.8939953,213.69006
20200407T0600,0.0,1.4346079,111.80141,3.319036,229.39871
20200407T0700,10.083333,3.118132,109.9831,0.0,180.0
20200407T0800,60.0,3.2951863,104.03624,2.2768397,71.56504
20200407T0900,60.0,2.4560866,40.601288,6.519877,83.65981
20200407T1000,60.0,4.13564,14.931412,12.9249525,77.12499
20200407T1100,60.0,5.842608,24.227737,22.530937,77.074
20200407T1200,60.0,9.795408,44.999985,31.129074,84.02568
20200407T1300,60.0,15.013241,62.52556,30.302078,76.95436
20200407T1400,60.0,18.619434,70.78733,33.70377,76.40905
20200407T1500,60.0,20.235882,73.951,36.932915,79.89496
20200407T1600,60.0,18.931276,76.1593,33.91269,80.83765
20200407T1700,60.0,17.057922,75.52971,31.012281,80.64702
20200407T1800,60.0,15.923945,72.47443,31.355152,77.39983
20200407T1900,60.0,13.01276,67.10944,34.322937,77.27564
20200407T2000,60.0,9.418661,61.2602,38.491394,82.47618
20200407T2100,5.65,6.4378467,65.55604,38.60234,86.257
20200407T2200,0.0,3.3697233,71.565056,35.143818,96.46981
20200407T2300,0.0,1.0983953,284.03625,25.14852,113.62937
