Datum,Stampfenbachstrasse_PM10,Schimmelstrasse_PM10,Rosengartenstrasse_PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,30.21,34.98,36.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,NaN,28.01,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-22,16.67,14.71,16.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-23,5.47,4.92,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,8.73,9.11,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-25,16,16.38,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-26,21.73,23.61,24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,28.44,33.35,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-28,28.83,31.25,32.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-29,23.93,24.57,25.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-30,22.98,22.94,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,28.09,24.49,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,32.96,27.53,35.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-02,31.85,29.48,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-03,42.97,43.78,50.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-04,44.17,48.81,64.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-05,32.01,36.8,34.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-06,18.69,22.68,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-07,23.64,25.02,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-08,11.05,12.07,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-09,14.61,17.19,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-10,17.29,17.64,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-11,15.83,19.91,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-12,19.94,23,23.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-13,18.74,19.89,26.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,17.61,18.02,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-15,13.67,13.5,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-16,NaN,15.3,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-17,NaN,15.12,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-18,12.13,11.75,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-19,9.23,8.03,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-20,14.75,15.46,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21,12.83,10.75,12.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,13.1,15.17,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-23,14.43,15.2,16.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-24,12.55,11.46,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,17.37,20.4,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-26,11.03,11.52,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-27,4.16,NaN,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,6.12,7.5,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,11.47,8.78,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,11.02,9.21,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,6.69,7.94,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-02,7.29,9.57,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-03,11.2,10.08,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-04,14,14.22,15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,17.28,21.05,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-06,18.37,13.86,21.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,11.12,11.22,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,9.23,13.85,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,7.88,5.31,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-10,9.53,10.32,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-11,7.49,6.47,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,7.13,6.24,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,7.36,4.96,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,8.79,10.8,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,9.56,13.41,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-16,9.99,11.67,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-17,11.49,11.46,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-18,13.52,15.43,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,14.46,16.52,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,17.19,16.17,18.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,23.42,22.93,25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,35.03,34.27,36.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-23,8.87,9.52,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-24,7.24,8.1,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-25,9.37,14.14,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-26,9.32,13.65,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-27,10.52,8.63,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,10.97,11.59,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,8.97,10.12,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,8.36,11.39,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-31,11.68,13.15,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,12.65,13.66,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-02,15.44,13.64,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-03,15.21,15.85,21.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-04,15.37,13.9,17.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-05,10.17,10.35,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-06,16.98,17.83,18.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-07,25,22.65,25.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-08,33.76,32.56,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-09,33.64,30.35,34.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-10,27.91,28.36,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-11,17.15,18.12,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-12,24.26,22.47,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-13,17.63,17.47,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-14,13.94,13.4,15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
