,Jura,Mittelland,Alpennordflanke,Westliche Zentralalpen,Östliche Zentralalpen,Alpensüdflanke,Schweiz
1994,3.43946084127353,0.14322800107421,34.9376580347022,42.6799007444169,49.3486458690435,39.7931409907458,28.3903390802094
1995,3.76481524517778,0.14322800107421,33.8128869125469,47.9528535980149,44.8405896468975,35.8192705498095,27.7222739922534
1996,2.06832442481989,0.0179035001342763,30.8570930333944,43.8585607940447,46.1775797051766,35.8192705498095,26.4664553345632
1997,1.25493841505926,0,25.8958932775307,39.9090157154673,42.3037367158039,32.3897659227001,23.6255583410936
1998,0.697188008366256,0,21.6932600924231,32.6509511993383,38.635584504628,31.7637452367991,20.9067881735925
1999,0.557750406693005,0,17.2464905397158,27.4193548387097,37.1443263627014,30.3211758301579,18.781516329663
2000,0.58099000697188,0,16.9238817682448,26.0545905707196,36.1158724717175,30.1850843767011,18.3100698657258
2001,0.58099000697188,0,17.6301334030866,26.2406947890819,36.8529310935893,29.4501905280348,18.4591566367941
2002,0.464792005577504,0,18.4148574417996,25.9925558312655,35.8587589989715,29.2324442025041,18.3272347466864
2003,0.488031605856379,0,18.3015084139855,28.2464846980976,37.9842303736716,29.7223734349483,19.1237714210932
2004,0.418312805019754,0,17.2290522277444,21.0918114143921,37.0071991772369,28.3070223189984,17.3422329905652
2005,0.0464792005577504,0,17.0808265759874,25.1240694789082,37.0929036681522,28.8513881328253,18.0326111760718
2006,0.0464792005577504,0,15.2933995989188,29.1356492969396,34.4532053479602,27.7354382144801,17.7773619431428
2007,0.0464792005577504,0,14.735373615834,28.5153019023987,34.8303051079877,28.7152966793685,17.8071260843578
2008,0.0697188008366256,0,18.1881593861714,30.1488833746898,34.1446691806651,27.7898747958628,18.3902175897043
2009,0,0,16.9500392362019,30.066170388751,32.4820020569078,26.2656505171475,17.6273103665014
2010,0,0,13.7849856133926,24.6484698097601,31.4021254713747,25.7212847033206,18.0097577647735
2011,0,0,14.2209434126777,23.9247311827957,34.2132327733973,27.1910724006532,18.7555328486199
2012,0,0,13.4362193739646,22.4358974358974,32.4305793623586,25.3402286336418,17.1638680055403
